voyageID,yearIn_num,voyage_duration,reason
AV05345,1875,0,nonpositive
AV05354,1891,0,nonpositive
AV05355,1892,0,nonpositive
AV05356,1893,0,nonpositive
AV05357,1894,0,nonpositive
AV05367,1853,0,nonpositive
AV05368,1853,0,nonpositive
AV05373,1839,0,nonpositive
AV05391,1848,0,nonpositive
AV05417,1898,0,nonpositive
AV05418,1899,0,nonpositive
AV05441,1883,0,nonpositive
AV05442,1884,0,nonpositive
AV05443,1885,0,nonpositive
AV05445,1851,0,nonpositive
AV05447,1851,0,nonpositive
AV05450,1841,0,nonpositive
AV05454,1845,0,nonpositive
AV05466,1845,0,nonpositive
AV05474,1841,0,nonpositive
AV05480,1822,0,nonpositive
AV05484,1818,0,nonpositive
AV05533,1858,0,nonpositive
AV05544,1820,0,nonpositive
AV05583,1839,0,nonpositive
AV05614,1845,0,nonpositive
AV05675,1883,0,nonpositive
AV05676,1884,0,nonpositive
AV05677,1885,0,nonpositive
AV05684,1855,0,nonpositive
AV05688,1863,0,nonpositive
AV05721,1866,0,nonpositive
AV05727,1840,0,nonpositive
AV05728,1842,0,nonpositive
AV05733,1851,0,nonpositive
AV05762,1857,0,nonpositive
AV05768,1868,0,nonpositive
AV05769,1852,0,nonpositive
AV05794,1828,0,nonpositive
AV05857,1895,0,nonpositive
AV05873,1886,0,nonpositive
AV05911,1842,0,nonpositive
AV05915,1854,0,nonpositive
AV05916,1854,0,nonpositive
AV05931,1836,0,nonpositive
AV05932,1837,0,nonpositive
AV05938,1841,0,nonpositive
AV05942,1850,0,nonpositive
AV05960,1871,0,nonpositive
AV05961,1872,0,nonpositive
AV05962,1873,0,nonpositive
AV05963,1874,0,nonpositive
AV05965,1876,0,nonpositive
AV05966,1877,0,nonpositive
AV05967,1879,0,nonpositive
AV05968,1880,0,nonpositive
AV05969,1878,0,nonpositive
AV05970,1868,0,nonpositive
AV05971,1869,0,nonpositive
AV05977,1886,0,nonpositive
AV05978,1887,0,nonpositive
AV05979,1888,0,nonpositive
AV05980,1889,0,nonpositive
AV05987,1845,0,nonpositive
AV05988,1846,0,nonpositive
AV05989,1846,0,nonpositive
AV06001,1842,0,nonpositive
AV06045,1856,0,nonpositive
AV06051,1850,0,nonpositive
AV06052,1851,0,nonpositive
AV06076,1853,0,nonpositive
AV06077,1853,0,nonpositive
AV06078,1853,0,nonpositive
AV06079,1853,0,nonpositive
AV06080,1853,0,nonpositive
AV06081,1854,0,nonpositive
AV06083,1856,0,nonpositive
AV06095,1840,0,nonpositive
AV06112,1815,0,nonpositive
AV06113,1816,0,nonpositive
AV06114,1818,0,nonpositive
AV06125,1822,0,nonpositive
AV06166,1851,0,nonpositive
AV06167,1852,0,nonpositive
AV06168,1853,0,nonpositive
AV06185,1816,0,nonpositive
AV06186,1818,0,nonpositive
AV06194,1833,0,nonpositive
AV06195,1834,0,nonpositive
AV06200,1838,0,nonpositive
AV06203,1852,0,nonpositive
AV06214,1850,0,nonpositive
AV06216,1852,0,nonpositive
AV06218,1831,0,nonpositive
AV06219,1853,0,nonpositive
AV06249,1848,0,nonpositive
AV06262,1881,0,nonpositive
AV06264,1883,0,nonpositive
AV06270,1894,0,nonpositive
AV06274,1816,0,nonpositive
AV06309,1850,0,nonpositive
AV06313,1847,0,nonpositive
AV06314,1848,0,nonpositive
AV06340,1880,0,nonpositive
AV06341,1881,0,nonpositive
AV06342,1882,0,nonpositive
AV06343,1883,0,nonpositive
AV06344,1884,0,nonpositive
AV06345,1885,0,nonpositive
AV06508,1864,0,nonpositive
AV06550,1830,0,nonpositive
AV06594,1846,0,nonpositive
AV06630,1859,0,nonpositive
AV06631,1859,0,nonpositive
AV06643,1815,0,nonpositive
AV06644,1815,0,nonpositive
AV06681,1879,0,nonpositive
AV06682,1880,0,nonpositive
AV06683,1881,0,nonpositive
AV06684,1882,0,nonpositive
AV06685,1883,0,nonpositive
AV06686,1884,0,nonpositive
AV06688,1885,0,nonpositive
AV06689,1886,0,nonpositive
AV06690,1887,0,nonpositive
AV06691,1888,0,nonpositive
AV06692,1889,0,nonpositive
AV06693,1890,0,nonpositive
AV06694,1891,0,nonpositive
AV06695,1892,0,nonpositive
AV06696,1893,0,nonpositive
AV06697,1894,0,nonpositive
AV06698,1895,0,nonpositive
AV06699,1896,0,nonpositive
AV06718,1860,0,nonpositive
AV06791,1862,0,nonpositive
AV06798,1891,0,nonpositive
AV06802,1896,0,nonpositive
AV06803,1897,0,nonpositive
AV06875,1887,0,nonpositive
AV06876,1888,0,nonpositive
AV06881,1891,0,nonpositive
AV06883,1893,0,nonpositive
AV06956,1834,0,nonpositive
AV06957,1835,0,nonpositive
AV06958,1836,0,nonpositive
AV06959,1837,0,nonpositive
AV06960,1838,0,nonpositive
AV06961,1839,0,nonpositive
AV07010,1847,0,nonpositive
AV07042,1821,0,nonpositive
AV07043,1822,0,nonpositive
AV07062,1878,0,nonpositive
AV07063,1816,0,nonpositive
AV07069,1820,0,nonpositive
AV07073,1827,0,nonpositive
AV07074,1828,0,nonpositive
AV07077,1831,0,nonpositive
AV07078,1832,0,nonpositive
AV07079,1833,0,nonpositive
AV07080,1834,0,nonpositive
AV07081,1835,0,nonpositive
AV07083,1845,0,nonpositive
AV07096,1888,0,nonpositive
AV07104,1856,0,nonpositive
AV07108,1827,0,nonpositive
AV07110,1838,0,nonpositive
AV07111,1838,0,nonpositive
AV07112,1838,0,nonpositive
AV07155,1864,0,nonpositive
AV07172,1884,0,nonpositive
AV07173,1863,0,nonpositive
AV07174,1864,0,nonpositive
AV07181,1873,0,nonpositive
AV07237,1889,0,nonpositive
AV07239,1855,0,nonpositive
AV07240,1856,0,nonpositive
AV07241,1857,0,nonpositive
AV07243,1859,0,nonpositive
AV07244,1860,0,nonpositive
AV07245,1861,0,nonpositive
AV07246,1862,0,nonpositive
AV07247,1863,0,nonpositive
AV07250,1886,0,nonpositive
AV07251,1887,0,nonpositive
AV07252,1888,0,nonpositive
AV07253,1889,0,nonpositive
AV07272,1891,0,nonpositive
AV07275,1893,0,nonpositive
AV07276,1894,0,nonpositive
AV07292,1891,0,nonpositive
AV07297,1867,0,nonpositive
AV07299,1869,0,nonpositive
AV07330,1840,0,nonpositive
AV07334,1858,0,nonpositive
AV07342,1889,0,nonpositive
AV07343,1890,0,nonpositive
AV07344,1891,0,nonpositive
AV07345,1892,0,nonpositive
AV07346,1893,0,nonpositive
AV07347,1845,0,nonpositive
AV07348,1849,0,nonpositive
AV07349,1850,0,nonpositive
AV07350,1851,0,nonpositive
AV07353,1817,0,nonpositive
AV07355,1874,0,nonpositive
AV07416,1830,0,nonpositive
AV07443,1842,0,nonpositive
AV07474,1897,0,nonpositive
AV07475,1898,0,nonpositive
AV07476,1899,0,nonpositive
AV07518,1888,0,nonpositive
AV07519,1889,0,nonpositive
AV07520,1890,0,nonpositive
AV07522,1892,0,nonpositive
AV07524,1893,0,nonpositive
AV07533,1868,0,nonpositive
AV07555,1815,0,nonpositive
AV07556,1816,0,nonpositive
AV07557,1816,0,nonpositive
AV07571,1866,0,nonpositive
AV07598,1841,0,nonpositive
AV07609,1845,0,nonpositive
AV07610,1846,0,nonpositive
AV07611,1847,0,nonpositive
AV07612,1848,0,nonpositive
AV07613,1849,0,nonpositive
AV07614,1850,0,nonpositive
AV07615,1851,0,nonpositive
AV07616,1851,0,nonpositive
AV07617,1852,0,nonpositive
AV07618,1853,0,nonpositive
AV07619,1854,0,nonpositive
AV07620,1855,0,nonpositive
AV07622,1856,0,nonpositive
AV07624,1858,0,nonpositive
AV07626,1859,0,nonpositive
AV07628,1861,0,nonpositive
AV07671,1891,0,nonpositive
AV07673,1892,0,nonpositive
AV07674,1893,0,nonpositive
AV07676,1897,0,nonpositive
AV07677,1898,0,nonpositive
AV07678,1899,0,nonpositive
AV07692,1872,0,nonpositive
AV07693,1841,0,nonpositive
AV07735,1866,0,nonpositive
AV07762,1818,0,nonpositive
AV07783,1891,0,nonpositive
AV07807,1867,0,nonpositive
AV07825,1886,0,nonpositive
AV07847,1834,0,nonpositive
AV07848,1834,0,nonpositive
AV07858,1867,0,nonpositive
AV07882,1842,0,nonpositive
AV07912,1893,0,nonpositive
AV07921,1845,0,nonpositive
AV07922,1845,0,nonpositive
AV07944,1837,0,nonpositive
AV07960,1821,0,nonpositive
AV07961,1822,0,nonpositive
AV07976,1816,0,nonpositive
AV07983,1813,0,nonpositive
AV07984,1816,0,nonpositive
AV07985,1818,0,nonpositive
AV08011,1853,0,nonpositive
AV08014,1892,0,nonpositive
